title,type,description,speakers,date,time_start,time_end,length_in_hours,room,event_id,event_url
A hitchhiker's guide To APIs,Hands-on,"In this hands-on session, you will use Postman to interrogate a web API. David Eads (NPR) and Helga Salinas (Seattle Times) will guide you through the process of constructing a magic URL that will tell you how Chicago’s violent crime in 2016 compares to other years.

This session is for beginners. If you’ve ever thought about what goes on in the location bar of your browser, have an eye for patterns, or want better ways to answer your reporting questions, you’ll have a blast.",David Eads,2017-03-02,16:45,17:45,1.0,City Terrace 8,2702/3064,https://ire.org/events-and-training/event/2702/3064/
Advanced social media sleuthing,Hands-on,,Steve Myers,2017-03-02,16:45,17:45,1.0,City Terrace 9,2702/3073,https://ire.org/events-and-training/event/2702/3073/
Data for radio: Turning data into characters in your story,Panel,,TBA,2017-03-02,16:45,17:45,1.0,River Terrace 3,2702/3040,https://ire.org/events-and-training/event/2702/3040/
Design track: Intermediate D3 (Sponsored by Society for News Design),Hands-on,"We’ll tackle some of the more complicated chart forms in D3, cover advanced data manipulation functions, and include tons of real-world examples of how you can turn your own data into D3 charts.","John Muyskens, Leslie Shapiro",2017-03-02,16:45,17:45,1.0,City Terrace 7,2702/3053,https://ire.org/events-and-training/event/2702/3053/
How to make data approachable for younger audiences,Panel,Millennials - gotta catch 'em all. We'll tell you how to structure your data stories and interactives so younger audiences are drawn to your takeaways and will ultimately share with their friends.,"Ani Ucar, Rachel Schallom",2017-03-02,16:45,17:45,1.0,Conference Center A,2702/2906,https://ire.org/events-and-training/event/2702/2906/
Intro to Python 3,Hands-on,,Alex Richards,2017-03-02,16:45,17:45,1.0,City Terrace 10,2702/2940,https://ire.org/events-and-training/event/2702/2940/
Investigating racial inequity (Sponsored by Ida B. Wells Society),Panel,,TBA,2017-03-02,16:45,17:45,1.0,Conference Center B,2702/3020,https://ire.org/events-and-training/event/2702/3020/
Mining data from the social web (demo),Demo,"From President Donald Trump’s Twitter account to fake news — social media platforms have become a major source for news.

This demo session will give journalists the ability to harvest information from the social web in structured and automated ways. Participants will learn how to collect information from Facebook pages and Twitter accounts via scraping and APIs and turn them into spreadsheets.

To get the most out of this demo: Attendees should have a basic grasp of programming concepts but do not need to be proficient in coding. Attendees should have their own Twitter and Facebook accounts and create app IDs for API access in advance of the session. If you want to follow along in this demonstration, make sure you have Python, pip and git installed on your laptop.","Lam Thuy Vo, Cathy Deng",2017-03-02,16:45,17:45,1.0,River Terrace 2,2702/3112,https://ire.org/events-and-training/event/2702/3112/
Open 3d sandbox,Special Event,Make something in 3D in 10 minutes! We'll bring the basics for a three.js scene along with a bucket of assets so people can mix and match while learning how to build 3D interactives. Please bring your computer to this session.,"Joe Fox, Armand Emamdjomeh",2017-03-02,16:45,17:45,1.0,City Terrace 12,2702/3050,https://ire.org/events-and-training/event/2702/3050/
PivotTables in Excel,Hands-on,,Kimbriell Kelly,2017-03-02,16:45,17:45,1.0,City Terrace 11,2702/2941,https://ire.org/events-and-training/event/2702/2941/
Welcome reception,Reception,"Kick off the conference with a welcome reception on Thursday night beginning at 6 p.m. Meet up with friends you have not seen since last year and welcome new attendees. Each attendee will receive one drink ticket for beer, wine, soda or bottled water.",TBA,2017-03-02,18:00,19:00,1.0,River Terrace 1,2702/2995,https://ire.org/events-and-training/event/2702/2995/
Conference registration (Friday),Special Event,Registration will be located on the 3rd floor Skybridge of the Hyatt Regency Jacksonville Riverfront.,TBA,2017-03-03,08:00,17:00,9.0,3rd floor - Skybridge,2702/3001,https://ire.org/events-and-training/event/2702/3001/
Conference sales (Friday),Special Event,,TBA,2017-03-03,08:00,17:00,9.0,3rd floor - Skybridge,2702/3005,https://ire.org/events-and-training/event/2702/3005/
Conversations 5 (Sponsored by SRCCON - Knight Mozilla OpenNews),Special Event,,TBA,2017-03-03,09:00,10:00,1.0,City Terrace 12,2702/2978,https://ire.org/events-and-training/event/2702/2978/
Data crunching in Python (for people who only know Excel),Hands-on,"An intro-level session for people who are comfortable with spreadsheets but want to start working with data in Python.

We won't be using pandas, Agate or any other popular data analysis libraries; instead, we'll focus on a few common Excel tasks and walk through basic data types and equivalent functionality in Python's standard library.

(It's cool if you already know how to make a Python script go, but no big deal if you don't.)",Cody Winchester,2017-03-03,09:00,10:00,1.0,City Terrace 8,2702/3099,https://ire.org/events-and-training/event/2702/3099/
How to find stories in data: Data exploration and storytelling,Hands-on,"This session will introduce you to ways to use data as a source to tell stories. We’ll demonstrate techniques and tools to interrogate data for answers — gathering, cleaning, organizing and analyzing data to find and tell stories.

The three topics we will focus on in this hour are:",Heather Krause,2017-03-03,09:00,10:00,1.0,City Terrace 9,2702/2942,https://ire.org/events-and-training/event/2702/2942/
How to use polls and rankings – and how to tell the good from bad,Panel,"Quick survey: how many of you are inundated with press releases about polls, rankings, and best-of lists? You know your readers love that kind of thing, but you don’t want to mislead them with bad data or overstating the results. Maybe the election has you questioning its value in general. We’ll give you the tools you need to quickly sort out what’s worth covering. But let’s go further: You’ll see some real-life examples of even more interesting ways to incorporate this data into your story-telling and reporting.","Matt Carmichael, Chris Jackson, Peter Gade",2017-03-03,09:00,10:00,1.0,River Terrace 1,2702/3047,https://ire.org/events-and-training/event/2702/3047/
Intro to R: Stepping up your analysis game (beginner),Hands-on,,Charles Minshew,2017-03-03,09:00,10:00,1.0,City Terrace 10,2702/2943,https://ire.org/events-and-training/event/2702/2943/
The lone trainer: Ideas for boosting data literacy in your newsroom,Panel,,"Jennifer LaFleur, Ronald Campbell",2017-03-03,09:00,10:00,1.0,Conference Center B,2702/2907,https://ire.org/events-and-training/event/2702/2907/
"The perils, pitfalls and payoffs of working with higher ed data (Sponsored by Lumina Foundation)",Panel,,"Jennifer Forsyth, Holly Hacker",2017-03-03,09:00,10:00,1.0,River Terrace 3,2702/3041,https://ire.org/events-and-training/event/2702/3041/
Uncovering the influence,Panel,,TBA,2017-03-03,09:00,10:00,1.0,Conference Center A,2702/3113,https://ire.org/events-and-training/event/2702/3113/
Visualization and analysis in Python,Hands-on,,"Nathaniel Lash, Adam Playford",2017-03-03,09:00,10:00,1.0,City Terrace 4,2702/2947,https://ire.org/events-and-training/event/2702/2947/
Excel Magic (beginner/intermediate) *pre-registered attendees only,Hands-on,"If you've found yourself struggling in a spreadsheet, thinking that whatever you were trying to achieve seemed harder than it should've been, then this is the class for you. You'll learn how to do things with spreadsheets that you never thought possible, such as joining tables and re-arranging badly structured data. You'll learn about the never-ending and amazing power of logical functions, as well as a whole bunch of other functions you probably didn't know about (but should). You'll also learn some handy tools for dealing with dates, times and strings of text that aren't quite the way you'd like them. Plus we'll throw in some other tricks that just make working in spreadsheets a bit easier and more efficient.

Preregistration is required and seating is limited. Laptops will be provided for the training.

Workshop prerequisites: You should have prior experience using Excel or Google Sheets, and be comfortable with introductory-level spreadsheet skills, such as sorting, filtering, SUM and AVERAGE functions, calculations such as percentage change or percent of total, and how to use Pivot Tables.

NOTE: Registration is required for this session. Click here to sign up.",MaryJo Webster,2017-03-03,09:00,12:30,3.5,City Terrace 5,2702/2881,https://ire.org/events-and-training/event/2702/2881/
"When Excel is not enough, you SQL",Hands-on,,Crina Boros,2017-03-03,09:00,12:30,3.5,City Terrace 11,2702/2991,https://ire.org/events-and-training/event/2702/2991/
First Python Notebook: Rapid data analysis in the newsroom (beginner/intermediate) *pre-registered attendees only,Hands-on,"Ben Welsh, James Gordon and Cheryl Phillips teach you how to conduct and publish a data analysis with the Python programming language, its pandas toolkit and a Jupyter Notebook.

The 6-hour, hands-on tutorial will guide you through an investigation of money in politics using data from the California Civic Data Coalition. You will learn just enough Python to do damage with the powerful pandas data analysis library, the most popular open-source library for working with large data files. You will also learn how to record, remix and republish your analysis using the Jupyter Notebook, a browser-based tool for writing code that is emerging as the standard for sharing reproducible research in the sciences. And most importantly, you will see how tools can increase the speed and veracity of your journalism.

Preregistration is required and seating is limited. Laptops will be provided for the training.

Workshop prerequisites: If you've tried Python once or twice, have good attitude and know how to take a few code crashes in stride, you are qualified for this class.

NOTE: Registration is required for this session. Click here to sign up.","James Gordon, Cheryl Phillips, Ben Welsh",2017-03-03,09:00,16:30,7.5,City Terrace 6,2702/2879,https://ire.org/events-and-training/event/2702/2879/
Kiss your apps goodbye: Saving born-digital news,Demo,,Edward McCain,2017-03-03,09:30,10:00,0.5,River Terrace 2,2702/2908,https://ire.org/events-and-training/event/2702/2908/
Brain flipping: Tips for switching between the sides of your brain,Panel,,TBA,2017-03-03,10:15,11:15,1.0,Conference Center A,2702/3036,https://ire.org/events-and-training/event/2702/3036/
Broadcast: Transforming data into knockout visuals,Panel,,TBA,2017-03-03,10:15,11:15,1.0,Conference Center B,2702/3012,https://ire.org/events-and-training/event/2702/3012/
Common foundations for newsroom tools,Panel,,TBA,2017-03-03,10:15,11:15,1.0,River Terrace 1,2702/2909,https://ire.org/events-and-training/event/2702/2909/
Conversations 6 (Sponsored by SRCCON - Knight Mozilla OpenNews),Special Event,,TBA,2017-03-03,10:15,11:15,1.0,City Terrace 12,2702/2979,https://ire.org/events-and-training/event/2702/2979/
Data analysis in R (beginner),Hands-on,"Learn how to sort, filter, join and carry out some other basic functions in R to identify trends in your data for storytelling.",Peter Aldhous,2017-03-03,10:15,11:15,1.0,City Terrace 10,2702/2946,https://ire.org/events-and-training/event/2702/2946/
Designing database applications for community engagement (Hosted by Caspio),Hands-on,"Investigative journalists have great ideas, and many are seeking fast, innovative solutions that allow them to publish interactive data applications by deadline. Caspio has the tools to allow you to do this, without the help of a staff developer.

With a little bit of training, you can learn how to develop your own data-driven apps, interactives, consumer investigative sites, and community engagement tools using Caspio.

This demo will showcase real-world examples and techniques for building revenue-generating database applications. Creative community engagement has never been easier.

Note: Pre-registration is not required.","Jennifer Christos, Sabina Tuladhar",2017-03-03,10:15,11:15,1.0,City Terrace 4,2702/2944,https://ire.org/events-and-training/event/2702/2944/
Gifs for data viz,Demo,"Let’s take a look at why animated gifs work so well as explanatory tools; what kinds of charts, graphics, and data visualizations they’re best for; and how you can make your very own.",Lena Groeger,2017-03-03,10:15,11:15,1.0,River Terrace 2,2702/2910,https://ire.org/events-and-training/event/2702/2910/
Github for journos (repeat session),Hands-on,,Hector Alfaro,2017-03-03,10:15,11:15,1.0,City Terrace 9,2702/3074,https://ire.org/events-and-training/event/2702/3074/
Phil Meyer Award winners deep dives,Panel,"**Moderated by Jodi Upton, Syracuse University","Jeff Ernsthausen, Scott Pham, Eric Sagara, John Templon, Jodi Upton",2017-03-03,10:15,11:15,1.0,River Terrace 3,2702/3042,https://ire.org/events-and-training/event/2702/3042/
Show me the money: Finding compensation gold in proxy statements,Hands-on,"Want to quickly calculate how much Warren Buffett is worth? Wondering how much Mark Zuckerberg pays himself? The answers are readily available for those who know where to look. In filings with the Securities and Exchange Commission, thousands of publicly traded companies (and even some companies that don’t trade on a stock exchange) reveal a wealth of information about executive pay, perks and stock holdings. This hands-on session will show you where to find compensation data for companies you cover.",Jeff Ostrowski,2017-03-03,10:15,11:15,1.0,City Terrace 8,2702/2945,https://ire.org/events-and-training/event/2702/2945/
Conversations 7 (Sponsored by SRCCON - Knight Mozilla OpenNews),Special Event,,TBA,2017-03-03,11:30,12:30,1.0,City Terrace 12,2702/2980,https://ire.org/events-and-training/event/2702/2980/
Data analysis in Tableau,Hands-on,"Tableau Desktop is a powerful data analysis tool that can crunch large datasets entirely with a visual interface and with more flexibility than SQL. This session will teach you how to join tables, query, group and filter, and visualize the results by simply dragging, dropping and clicking (okay, and a little typing). The software is free for IRE members.",Sarah Ryley,2017-03-03,11:30,12:30,1.0,City Terrace 9,2702/3075,https://ire.org/events-and-training/event/2702/3075/
Data wrangling with Python,Hands-on,"Much of the prerequisite for analysis involves loading, transforming, and storing data. We'll dig into Python libraries that are useful for reading from and writing to various data formats, including databases. Familiarity with Python and SQL is helpful but not essential.",Anthony DeBarros,2017-03-03,11:30,12:30,1.0,City Terrace 8,2702/2948,https://ire.org/events-and-training/event/2702/2948/
Doing data journalism under duress,Panel,,TBA,2017-03-03,11:30,12:30,1.0,Conference Center B,2702/3038,https://ire.org/events-and-training/event/2702/3038/
GIS with Python: 6 libraries to know,Demo,,Roberto Rocha,2017-03-03,11:30,12:30,1.0,River Terrace 2,2702/2912,https://ire.org/events-and-training/event/2702/2912/
Gathering and cleaning data with R (intermediate),Hands-on,Learn how to use R to scrape data from the web and pull data from APIs. This session will also look at how to clean and structure the data you've gathered in preparation for your analysis using tidyverse packages.,Caelainn Barr,2017-03-03,11:30,12:30,1.0,City Terrace 10,2702/2949,https://ire.org/events-and-training/event/2702/2949/
Google trends,Hands-on,"Turning trends into stories

Google Trends data can be a reflection of our collective curiosities. This data can be a powerful signal in reporting, as we’ve seen spikes in search interest showcasing how people are processing major events, and questions searched indicating what folks want to know most.

Join us as we discuss how to use Google Trends--whether it’s to discover your next story or to enrich and amplify one you’re currently working on.",Jennifer Lee,2017-03-03,11:30,12:30,1.0,City Terrace 4,2702/2972,https://ire.org/events-and-training/event/2702/2972/
Managing data projects & workflows,Panel,"**Moderated by Matt Goldberg, NBC4 Los Angeles","Matt Goldberg, Aron Pilhofer, Janet Roberts",2017-03-03,11:30,12:30,1.0,River Terrace 1,2702/3110,https://ire.org/events-and-training/event/2702/3110/
Visualizing and understanding uncertainty (Sponsored by Society for News Design),Panel,"Information graphics trigger an illusion of certainty, precision and even control over the situation they describe. But how often do we, as infographics and data visualization designers, really think deeply about whether most readers understand that the line in a time-series line chart has a fuzzy cloud of uncertainty behind it? Or if the 63.3 percent probability of winning a football game that we're reporting on could be rounded to 60 percent, and more clearly expressed as a 3 out of 5 chances? In some cases, statistics, as a discipline, can help us work out margins of error, but in other cases, the mathematics is frustratingly silent about the best strategy for expressing a range of plausible outcomes. How do we give data their wobble back? Join us in a conversation about the challenges of visualizing uncertainty in figures developed for broad audiences, and strategies for representing it effectively.","Alberto Cairo, Mark Hansen, Jen Christiansen",2017-03-03,11:30,12:30,1.0,Conference Center A,2702/3091,https://ire.org/events-and-training/event/2702/3091/
Jobs and career straight-talk: For (and by) young'uns only,Panel,,"Madi Alexander, Rachel Schallom",2017-03-03,11:30,13:30,2.0,River Terrace 3,2702/2911,https://ire.org/events-and-training/event/2702/2911/
Lunch on your own (Friday),Outside Event,,TBA,2017-03-03,12:30,14:15,1.75,See printed schedule for room information,2702/2997,https://ire.org/events-and-training/event/2702/2997/
Conversations 8 (Sponsored by SRCCON - Knight Mozilla OpenNews),Special Event,,TBA,2017-03-03,12:45,13:45,1.0,City Terrace 12,2702/2981,https://ire.org/events-and-training/event/2702/2981/
Digging into data for stories: A crash course (beginner) *pre-registered attendees only,Hands-on,"Kickstart your data skills with IRE's original mini-boot camp. This series of hands-on classes will introduce you to spreadsheets and databases with IRE's proven techniques. IRE's experienced trainers will walk you through sorting, calculating and interviewing data. You'll come away with a solid base for using data analysis in your own newsroom. In addition, we'll provide you with our boot camp materials to help keep you on track long after you leave the conference.

Preregistration is required and seating is limited. Laptops will be provided for the training.

Workshop prerequisites: There are no prerequisites for this workshop and beginners are welcome. This workshop is good for those wanting to get started analyzing data for stories

Workshop times are Friday, March 3, 2:15pm - 4:30pm; Saturday, March 4, 2:15pm - 5:45pm; Sunday, March 5, 9:00am - 12:30pm (Note: Registration for this session reserves your seat for all days of this workshop and attendees are expected to attend all sessions to complete the workshop.)

**Speakers are IRE/NICAR Staff

NOTE: Registration is required for this session. Click here to sign up.",TBA,2017-03-03,14:15,12:30,-1.75,City Terrace 10/11,2702/2882,https://ire.org/events-and-training/event/2702/2882/
Advanced PDF manipulation,Hands-on,,Miguel Barbosa,2017-03-03,14:15,15:15,1.0,City Terrace 7,2702/2950,https://ire.org/events-and-training/event/2702/2950/
Basic D3 (repeat session),Hands-on,,"Chris Canipe, Jon McClure",2017-03-03,14:15,15:15,1.0,City Terrace 8,2702/3076,https://ire.org/events-and-training/event/2702/3076/
Design track: Interactive design (Sponsored by Society for News Design),Panel,What the worst user interface ever can teach you about design.,Sarah Slobin,2017-03-03,14:15,15:15,1.0,City Terrace 4,2702/3128,https://ire.org/events-and-training/event/2702/3128/
Exploring environmental data,Panel,,"Dianne Finch, David Heath, Dinah Voyles Pulver",2017-03-03,14:15,15:15,1.0,River Terrace 1,2702/2919,https://ire.org/events-and-training/event/2702/2919/
Fighting First Amendment attacks,Panel,"**Moderated by Doug Haddix, IRE/NICAR",Doug Haddix,2017-03-03,14:15,15:15,1.0,Conference Center B,2702/3129,https://ire.org/events-and-training/event/2702/3129/
QGIS I: Importing and displaying geographic data,Hands-on,"Not all datasets need to be mapped, but some do! This mapping class is perfect for beginners looking to learn the basics of visualizing geographic data. We'll go over how to find publicly available data, prepare it for mapping, join datasets and use the open source mapping software, QGIS.","John Walton, Christine Jeavans",2017-03-03,14:15,15:15,1.0,City Terrace 5,2702/2959,https://ire.org/events-and-training/event/2702/2959/
Scraping data without coding (repeat session),Hands-on,"Scraping is a ​technical word for a traditional idea: getting ahold of information, whether or not your sources want you to. In this case, the information is data and the sources are websites. We'll go over some out-of-the-box tools for scraping data, plus some DIY techniques that often work even better.",Sydney Lupkin,2017-03-03,14:15,15:15,1.0,City Terrace 9,2702/2967,https://ire.org/events-and-training/event/2702/2967/
Unsung data,Panel,,"Dan Keating, Jeremy Singer-Vine",2017-03-03,14:15,15:15,1.0,River Terrace 3,2702/3057,https://ire.org/events-and-training/event/2702/3057/
Watch the web for news tips with Klaxon,Special Event,,Tom Meagher,2017-03-03,14:15,15:15,1.0,City Terrace 12,2702/2982,https://ire.org/events-and-training/event/2702/2982/
What's the impact?,Panel,"**Moderated by James Hamilton, Stanford University

Investigative stories can change lives and laws, draw audiences, and generate new leads and partnerships. How can you put numbers on these impacts? This panel will try, through discussion of evidence from readership metrics, benefit-cost analyses, survey data, and case studies.","Lindsay Green-Barber, Celeste LeCompte, Tom Rosenstiel, James Hamilton",2017-03-03,14:15,15:15,1.0,Conference Center A,2702/2913,https://ire.org/events-and-training/event/2702/2913/
Co-op models in data journalism,Special Event,,Forest Gregg,2017-03-03,15:30,16:30,1.0,City Terrace 12,2702/2983,https://ire.org/events-and-training/event/2702/2983/
Data & abuse of power,Panel,,"Anna Flagg, Moiz Syed",2017-03-03,15:30,16:30,1.0,Conference Center B,2702/2914,https://ire.org/events-and-training/event/2702/2914/
Data journalism from space,Demo,"For decades, time-sensitive satellite imagery has been expensive and accessible mostly to governments and large corporations. Recent advances in consumer technologies are making satellite technology cheaper, and new business models are making the production of space-bound hardware and imagery more democratized. Planet Labs, a startup founded by ex-NASA engineers, has the largest constellation of Earth-imaging satellites ever and aims to image the entire planet every day to track global events and challenges like climate change, deforestation, refugee camp growth, disaster response, and many others. The high frequency of Planet's imagery creates new opportunities to capture insight on significant local and global change and is able to move at the rapid rate of today’s 24-hour news cycle. Recent stories include coverage of deforestation in Bolivia, illegal gold mining in Peru, a collapsing glacier, and discovery of North Korean missile tests. As a unique source of data, Planet's imagery is available to approved journalists and socially-impactful projects.",Sara Schnadt,2017-03-03,15:30,16:30,1.0,River Terrace 2,2702/2915,https://ire.org/events-and-training/event/2702/2915/
Design track: User testing - Gathering insight to make better stories (Sponsored by Society for News Design),Panel,"Is your story clear? Do people see that search field? Does that button work the way you think it does? Find out how to answer these questions by talking to a few outside people. It’s easy, it’s cheap, and it works. Bonus: Bring a project you’re working on and learn how to test it.","Hannah Birch, Clarisa Diaz",2017-03-03,15:30,16:30,1.0,City Terrace 4,2702/3127,https://ire.org/events-and-training/event/2702/3127/
Intermediate D3 (repeat session),Hands-on,,"Chris Canipe, Jon McClure",2017-03-03,15:30,16:30,1.0,City Terrace 8,2702/3077,https://ire.org/events-and-training/event/2702/3077/
Intro to Javascript,Hands-on,"Functions, for loops and objects. They can be confusing at first but once you master these and other Javascript coding conventions, you'll be able to build fancy data visualizations and more. In this course, we will be learning the basics of Javascript. No coding experience is necessary.",Chris Essig,2017-03-03,15:30,16:30,1.0,City Terrace 7,2702/2951,https://ire.org/events-and-training/event/2702/2951/
"QGIS II: Manipulating, editing and analyzing geographic data",Hands-on,,Alexandra Kanik,2017-03-03,15:30,16:30,1.0,City Terrace 5,2702/2962,https://ire.org/events-and-training/event/2702/2962/
Quick-turn data stories,Panel,Speaker:,,2017-03-03,15:30,16:30,1.0,River Terrace 3,2702/3043,https://ire.org/events-and-training/event/2702/3043/
Reproducibility and Rmarkdown: How to use R regularly in your newsroom (intermediate),Hands-on,Learn how to turn your most commonly created custom lines of R code into a function and package for future use. Communicate your findings to others in the newsroom easily with R Markdown. Share all to your Github repo through RStudio for others to download and use or update.,Andrew Tran,2017-03-03,15:30,16:30,1.0,City Terrace 9,2702/3078,https://ire.org/events-and-training/event/2702/3078/
The present and future of bots,Panel,"**Moderated by Tiff Fehr, The New York Times","John Keefe, Simon Rogers, Ken Schwencke, Tiff Fehr",2017-03-03,15:30,16:30,1.0,River Terrace 1,2702/3014,https://ire.org/events-and-training/event/2702/3014/
Lightning Talks (Sponsored by the Knight Foundation),Panel,"**Moderated by Sisi Wei, ProPublica

Sometimes you don't need 45 minutes to explain a useful technique or interesting resource. Join your colleagues for a session of short (5-minute) talks about doing CAR, Web development or other related topics.",TBA,2017-03-03,16:45,18:00,1.25,Conference Center A&B,2702/2992,https://ire.org/events-and-training/event/2702/2992/
Philip Meyer Award Presentation,Special Event,"The presentation of the 2016 Philip Meyer Journalism Awards will take place on Friday at the 2017 CAR Conference in Jacksonville. The awards recognize the best uses of social research methods in journalism and are named in honor of Philip Meyer, author of “Precision Journalism” and retired Knight Chair in Journalism and UNC School of Journalism and Mass Communications.

Three awards are given annually — a first, second and third place — to recognize the best work using techniques that are part of precision journalism, computer-assisted reporting and social science research. The awards are: $500 for first, $300 for second, and $200 for third.

For information on the 2016 Award winners, click here.",TBA,2017-03-03,18:00,18:15,0.25,Conference Center A&B,2702/2993,https://ire.org/events-and-training/event/2702/2993/
Philip Meyer Award Reception & David Donald Remembrance,Reception,"Join fellow CAR attendees in celebrating the Philip Meyer Award Winners at a reception Friday night with light hor d'oeuvres and a cash bar beginning at 6:15 p.m. in River Terrace 1.

Join us for a brief tribute to former IRE training director and Philip Meyer Award winner David Donald, who died in December.",TBA,2017-03-03,18:15,19:30,1.25,River Terrace 1,2702/2994,https://ire.org/events-and-training/event/2702/2994/
